Course,Section,CRN,Course Title,XList,Enrolled Seats,First Name,Last Name,Temporary ID
DI  103,B02,11368,Environmental Studies,B4,26,Alex,Johnson,DI  103 B02 B4 Alex Johnson
DI  103,R37,11369,Critical Philosophy,B4,2,Jordan,Taylor,DI  103 R37 B4 Jordan Taylor
LH  102,B01,11725,Organic Chemistry,0P,24,Riley,Anderson,LH  102 B01 0P Riley Anderson
LH  103,B01,11727,Modern Physics,0Q,24,Casey,Thomas,LH  103 B01 0Q Casey Thomas
LH  103,R37,11728,Modern Physics,0Q,2,Jamie,Jackson,LH  103 R37 0Q Jamie Jackson
MK  420,B01,11811,World Geography,13,43,Riley,Wilson,MK  420 B01 13 Riley Wilson
FP  370,B01,11534,Digital Marketing,AW,18,Riley,Smith,FP  370 B01 AW Riley Smith
FP  370,B02,11535,Cultural Sociology,AW,12,Jordan,Brown,FP  370 B02 AW Jordan Brown
AC  509,B01,11035,Renewable Energy,B3,12,Taylor,Davis,AC  509 B01 B3 Taylor Davis
CU  140,B02,11314,Microeconomics,AE,16,Peyton,Wilson,CU  140 B02 AE Peyton Wilson
GB  323,B01,11556,World Geography,B5,21,Riley,Wilson,GB  323 B01 B5 Riley Wilson
HR  501,B01,11628,Art History,0I,6,Quinn,Brown,HR  501 B01 0I Quinn Brown
HR  501,R37,11629,Health Science,0I,1,Peyton,Anderson,HR  501 R37 0I Peyton Anderson
HI  100,B01,11604,Statistics and Probability,0B,27,Morgan,Taylor,HI  100 B01 0B Morgan Taylor
HI  100,R37,11605,Art History,0B,26,Jamie,Wilson,HI  100 R37 0B Jamie Wilson
LH  105,B01,11731,Health Science,0S,24,Jordan,Brown,LH  105 B01 0S Jordan Brown
LH  105,R37,11732,Microeconomics,0S,2,Reese,Jackson,LH  105 R37 0S Reese Jackson
AC  535,B01,11039,Art History,04,11,Morgan,Anderson,AC  535 B01 04 Morgan Anderson
GB  501,B04,11570,Introduction to Literature,B7,12,Taylor,Davis,GB  501 B04 B7 Taylor Davis
MK  114,B02,11796,Health Science,17,40,Morgan,Wilson,MK  114 B02 17 Morgan Wilson
HI  102,B01,11608,Creative Writing,0D,27,Reese,Moore,HI  102 B01 0D Reese Moore
HI  102,R37,11609,Creative Writing,0D,4,Jamie,Johnson,HI  102 R37 0D Jamie Johnson
AS  115,100,11096,Foundations of Biology,AA,5,Reese,Wilson,AS  115 100 AA Reese Wilson
AS  115,A01,11098,Critical Philosophy,AA,17,Reese,Moore,AS  115 A01 AA Reese Moore
CU  345,B01,11327,World Geography,AJ,12,Casey,Smith,CU  345 B01 AJ Casey Smith
